date,copper_price_usd_per_ton
2011-05-01,8931.68
2011-06-01,9066.85
2011-07-01,9650.46
2011-08-01,8997.99
2011-09-01,8300.14
2011-10-01,7394.19
2011-11-01,7581.02
2011-12-01,7558.88
2012-01-01,8061.92
2012-02-01,8441.49
2012-03-01,8470.78
2012-04-01,8285.53
2012-05-01,7896.91
2012-06-01,7428.29
2012-07-01,7584.26
2012-08-01,7510.43
2012-09-01,8087.74
2012-10-01,8062.03
2012-11-01,7711.23
2012-12-01,7966.49
2013-01-01,8053.74
2013-02-01,8060.93
2013-03-01,7652.38
2013-04-01,7221.16
2013-05-01,7248.71
2013-06-01,7000.24
2013-07-01,6906.64
2013-08-01,7186.25
2013-09-01,7159.27
2013-10-01,7203.02
2013-11-01,7070.65
2013-12-01,7214.90
2014-01-01,7291.47
2014-02-01,7149.21
2014-03-01,6650.04
2014-04-01,6673.56
2014-05-01,6891.13
2014-06-01,6821.14
2014-07-01,7113.38
2014-08-01,7001.84
2014-09-01,6872.22
2014-10-01,6737.48
2014-11-01,6712.85
2014-12-01,6446.45
2015-01-01,5830.54
2015-02-01,5729.28
2015-03-01,5939.67
2015-04-01,6042.09
2015-05-01,6294.78
2015-06-01,5833.01
2015-07-01,5456.75
2015-08-01,5127.30
2015-09-01,5217.25
2015-10-01,5216.09
2015-11-01,4799.90
2015-12-01,4638.83
2016-01-01,4471.79
2016-02-01,4598.62
2016-03-01,4953.80
2016-04-01,4872.74
2016-05-01,4694.54
2016-06-01,4641.97
2016-07-01,4864.90
2016-08-01,4751.67
2016-09-01,4722.20
2016-10-01,4731.26
2016-11-01,5450.93
2016-12-01,5660.35
2017-01-01,5754.56
2017-02-01,5940.91
2017-03-01,5824.63
2017-04-01,5683.90
2017-05-01,5599.56
2017-06-01,5719.76
2017-07-01,5985.12
2017-08-01,6485.63
2017-09-01,6577.17
2017-10-01,6807.60
2017-11-01,6826.55
2017-12-01,6833.89
2018-01-01,7065.85
2018-02-01,7006.53
2018-03-01,6799.18
2018-04-01,6851.51
2018-05-01,6825.27
2018-06-01,6965.86
2018-07-01,6250.75
2018-08-01,6051.05
2018-09-01,6050.76
2018-10-01,6219.59
2018-11-01,6195.92
2018-12-01,6075.32
2019-01-01,5939.10
2019-02-01,6300.49
2019-03-01,6439.46
2019-04-01,6438.36
2019-05-01,6017.90
2019-06-01,5882.23
2019-07-01,5941.20
2019-08-01,5709.44
2019-09-01,5759.25
2019-10-01,5757.30
2019-11-01,5859.95
2019-12-01,6077.06
2020-01-01,6031.21
2020-02-01,5687.75
2020-03-01,5182.63
2020-04-01,5057.97
2020-05-01,5239.83
2020-06-01,5754.60
2020-07-01,6372.46
2020-08-01,6508.39
2020-09-01,6704.90
2020-10-01,6713.81
2020-11-01,7068.91
2020-12-01,7772.24
2021-01-01,7972.15
2021-02-01,8470.94
2021-03-01,8988.25
2021-04-01,9324.82
2021-05-01,10166.29
2021-06-01,9631.50
2021-07-01,9450.82
2021-08-01,9370.14
2021-09-01,9324.71
2021-10-01,9829.22
2021-11-01,9728.90
2021-12-01,9551.18
2022-01-01,9782.34
2022-02-01,9943.18
2022-03-01,10230.89
2022-04-01,10174.35
2022-05-01,9395.03
2022-06-01,9067.55
2022-07-01,7544.81
2022-08-01,7990.81
2022-09-01,7746.01
2022-10-01,7651.08
2022-11-01,8049.86
2022-12-01,8371.09
2023-01-01,9007.35
2023-02-01,8936.59
2023-03-01,8856.31
2023-04-01,8809.16
2023-05-01,8243.16
2023-06-01,8396.52
2023-07-01,8476.68
2023-08-01,8347.83
2023-09-01,8276.71
2023-10-01,7941.36
2023-11-01,8189.59
2023-12-01,8407.90
2024-01-01,8351.34
2024-02-01,8304.95
2024-03-01,8692.82
2024-04-01,9445.59
2024-05-01,10117.16
2024-06-01,9648.17
2024-07-01,9385.31
2024-08-01,8981.12
2024-09-01,9259.13
2024-10-01,9533.99
2024-11-01,9075.73
2024-12-01,8909.91
2025-01-01,8976.68
2025-02-01,9330.98
2025-03-01,9735.82
2025-04-01,9172.70
2025-05-01,9531.20
2025-06-01,9835.07
2025-07-01,9770.58
2025-08-01,9671.88
2025-09-01,9994.77
2025-10-01,10739.92
2025-11-01,10812.03
2025-12-01,11790.96
2026-01-01,12986.61
2026-02-01,12951.35
2026-03-01,12528.71
2026-04-01,12890.69
2026-05-01,13512.16
2026-06-01,13552.04
